Źródło,Nazwa,NazwaPL,Cecha,Min. Ręka,Rzucanie,Czas,Zasięg,Opis,As,Para,Para Figur,Dwie Pary,Trójka,Strit,Kolor,Ful,Kareta,Poker,Królewski Poker
Metal Mage,Power Leak,Wyciek mocy,Spryt,As,1,Działa 2 rundy/H,Zasięg 5 jardów/H,"Zmniejsza ilość energii pochodzącą ze źródła energii (dotyczy to mechanizmów napędowych, bojlerów upiorytowych, prochu – również w nabojach – dynamitu etc.). Efekt jest procentowy, zależny od pociągniętej ręki i od maszyny na jaką go rzucono:
przy pojazdach zmniejsza ich prędkość;
przy broni automatycznej redukuje szybkostrzelność;
przy ładunkach wybuchowych zmniejsza ilość zadawanych obrażeń.
Redukcję parametrów należy zaokrąglać w dół: na przykład, jeśli energia dynamitu została zmniejszona za pomocą Power Leak o 20%, a w teście obrażeń wypadło 23, to obrażenia zostaną zmniejszone o 4.
Kant nie działa na chemikalia, których celem nie jest dostarczanie energii (np. nie zmniejszy obrażeń od kwasu, ale zmniejszy reaktywność kwasu w ogniwie galwanicznym!).
Kant nie wpływa na wydajność magicznych efektów – z wyjątkiem Power Surge, który (częściowo lub całkowicie) kasuje.","10%
-1","20%
-2","30%
-3","40%
-4","50%
-5","60%
-6","70%
-7","80%
-8","90%
-9","100%
-10","100%
-10"
Podstawka,Power Struggle,Próba mocy,Duch,Para Figur,1,1 Tchu/rundę,Zasięg 5 jardów/H,"Rzucony na Wygrzebańca, Kant rozwściecza Manitou i wymusza natychmiastową walkę o Dominację miedzy Manitou a Wygrzebańcem. Dopóki Kant działa, na każdej Akcji Wygrzebaniec musi wykonać sporny test Ducha z Manitou, tak jak przy normalnej walce o Dominację. Wygrzebaniec może działać normalnie tylko na tych Akcjach, na których wygrywa ten sporny test (przegrany test oznacza po prostu, że poświęca całą siłę woli walce umysłów z demonem). Ponadto, po każdym teście zwycięzca (Manitou lub Wygrzebaniec) zdobywa 1 punkt Dominacji za każde uzyskane przebicie.",-,-,0,1,2,3,4,5,6,7,8
Metal Mage,Power Surge,Przypływ mocy,Spryt,As,1,Działa 2 rundy/H,Zasięg 5 jardów/H,"Zwiększa ilość energii pochodzącą ze źródła energii (dotyczy to mechanizmów napędowych, bojlerów upiorytowych, prochu – również w nabojach – dynamitu etc.). Efekt jest procentowy, zależny od pociągniętej ręki i od maszyny na jaką go rzucono:
przy pojazdach zwiększa ich prędkość;
przy broni automatycznej podnosi szybkostrzelność;
przy ładunkach wybuchowych zwiększa ilość zadawanych obrażeń.
Zwiększenie parametrów należy zaokrąglać w dół: na przykład, jeśli energia dynamitu została zwiększonma za pomocą Power Leak o 20%, a w teście obrażeń wypadło 23, to obrażenia zostaną zwiększone o 4.
Kant nie działa na chemikalia, których celem nie jest dostarczanie energii (np. nie zwiększy obrażeń od kwasu, ale zwiększy reaktywność kwasu w ogniwie galwanicznym!).
Kant nie wpływa na wydajność magicznych efektów – z wyjątkiem Power Leak, który (częściowo lub całkowicie) kasuje.","10%
-1","20%
-2","30%
-3","40%
-4","50%
-5","60%
-6","70%
-7","80%
-8","90%
-9","100%
-10","100%
-10"
Podstawka,Private Eye,Przewidzenie,Spostrzegawczość,Para,1,Koncentracja lub 1 Tchu/rundę,Zasięg 1 mila/H,"Kanciarz może widzieć oczami osoby (nie Abominacji), którą widzi lub jeśli trzyma w ręku przedmiot dotknięty przez cel w ciągu ostatniego tygodnia. Jeśli cel rzuci test Ducha (PT 7), może co rundę próbować „wyrzucić” Kanciarza ze swojej głowy (sporny test Ducha przeciw Kantowaniu).",,,,,,,,,,,
Podstawka,Quicksand,Ruchome Piaski,Wiedza,Para,2,Dziala stale,Zasięg 10 jardów/H,"Tworzy ruchome piaski (działa tylko w naturalnym otoczeniu i nie wpływa na litą skałę) o promieniu do 5 jardów na poziom Kantowania. Każdy kto znajdzie się na obszarze piasku zwalnia o ¼, chyba że głębokość piasku przekracza jego wzrost. Wtedy musi wykonywać co turę test Swimmin' (PT 7). Oblany test oznacza utratę 2 Tchu za każdy brakujący do zdania testu punkt.",-,3 ft,5 ft,7 ft,10 ft,15 ft,20 ft,25 ft,30 ft,40 ft,50 ft
Podstawka,Rainmaker,Deszczowiec,Wiedza,As,10 minut,Działa 1 godzinę/H,Zasięg 1 mila/H,"Pogarsza pogodę w obszarze działania Kanta o 1 poziom za każdą pociągniętą rękę, według skali podanej niżej. Kanciarz nie ma żadnej kontroli nad pogodą, i nie może spowodować efektu słabszego niż spowodowany wyciągniętą ręką. Jeśli końcowa pogoda to co najmniej Burza, może trwać krócej lub dłużej niż normalne działanie Kanta (decyzja Szeryfa).",,,,,,,,,,,
Podstawka,Raisin' the Pot!,Podbijanie Bębenka,Spryt,Para,Zwiewanie!,Chwilowo,Zasięg 5 jardów/H,"Rzucony natychmiast po udanym teście (swoim lub towarzysza), zwiększa liczbę uzyskanych Przebić. Kanta tego MOŻNA używać do wzmocnienia innych Kantów (każde Przebicie to jedna dodatkowa karta). Backlash oznacza, poza normalnymi efektami, wzmacniany test kończy się automatycznym niepowodzeniem.
Liczba dodatkowych Przebić zależy od pociągniętej ręki, i podana jest w tabeli pod opisami Kantów.
",-,1,2,3,4,5,6,7,8,9,10
Podstawka,Rapid Fire,Szybki Lopez,Wiedza,As,1,Działa 1 rundę/H,Zasięg 5 jardów/H,"Zwiększa szybkostrzelność broni oraz zmniejsza Niezawodność o tę samą liczbę. Jeśli Szybkostrzelność wzrośnie do 3 lub więcej, dla broni należy stosować reguły broni automatycznej (wliczając w to odrzut, jeśli broń wystrzeli więcej niż jedną serię na Akcję).",1,2,2,3,4,5,6,7,8,9,10
Metal Mage,Razor Coils,Cewki brzytwy,Wiedza,Para,1,Działa 1 rundę/H,Zasięg 5 jardów/H,"Tworzy pętle zardzewiałego drutu kolczastego owijające sie wokół ofiary. Wyrwanie się z nich wymaga zdania testu Nimbleness o PT zależnym od pociągniętej ręki (można próbować na każdej kolejnej Akcji chyba, że ma się Niefart – wtedy nie można się wydostać do końca trwania Kanta). Oblany test wiąże się z utratą 1 Tchu za każdy punkt, którego brakowało do zdania testu. Zdany test oznacza utratę 1k6 Tchu, ale Kant kończy działanie.",-,3,5,7,9,11,13,15,17,19,21
Podstawka,Reanimate,Renimacja,Spryt,As,5 minut,Dziala stale,Zasięg 1 jard,"Leczy martwe ciala (ale nie przywraca do życia!). Kant działa zarówno na zwyczajne zwłoki, jak i na te poruszające się (Walkin' Dead, Wygrzebańcy). Jednorazowe rzucenie zmniejsza poziom rany na jednej lokacji o 1. Do wyleczenia Tchu potrzebny jest As, do jednego poziomu rany Para, do dwóch Para Figur, do trzech Dwie Pary, do czterech Trójka, do pięciu Strit (tak, Kant przywraca urwane kończyny – niestety, nie działa na 5 ran otrzymanych w głowę).",,,,,,,,,,,
Metal Mage,Reflect,Odbicie,Duch,As,Zwiewanie!,Działa natychmiast,Na siebie,"Tworzy niematerialny „lustro” przypominające kawałek metalu przed Kanciarzem. To „lustro” odbija nie tylko światło, ale również niektóre efekty magiczne (Kanty, moce Wygrzebańcze, czarną magię), które wymagają trafienia celu. Reflect działa np. na Soul Blast albo Black Lightning. Jeśli Kant wyjdzie, rzucający odbity czar zostaje nim trafiony tak, jakby sam był jego celem.",1,2,3,4,5,6,7,8,9,10,11
Metal Mage,Reverse Engineer,Inżynieria wsteczna,Spostrzegawczość,As,specjalne,Czas działania specjalny,Dotyk,"Kant działa tak samo jak Analyse, ale dotyczy nie eliksirów alchemicznych, ale wynalazków Szalonej Nauki. Wszystkie inne efekty są identyczne.",,,,,,,,,,,
Metal Mage,Ride the Rails,Na szynach,Spryt,As,1 minuta,Czas działania specjalny,Na siebie,"Aby rzucić ten Kant, czarownik musi dotykać szyny kolejowej. Udane rzucenie sprawia, że zaczyna się poruszać z ogromną prędkością wzdłuż torów, a przebyciu ok. 50 stóp całkowicie znika i przesuwa się wzdłuż szyny w niematerialnej postaci. Kant ten pozwala podróżować na duże odległości, przy czym maksymalny dystans podróży i jej czas zależy od pociągniętej ręki. Za każdą rękę istnieje szansa 2%, że tory są przerwane – Kanciarz materializuje się w miejscu, gdzie szyna się kończy, upadając dość gwałtownie na ziemię i otrzymując 3k6 Tchu.","10 mil
1 minuta","25 mil
5 min","50 mil
10 min","100 mil
20 min","200 mil
30 min","300 mil
40 min","400 mil
50 min","500 mil
1 h","750 mil
2 h","1000 mil
3 h","2000 mil
4 h"
Podstawka,Rust,Rdza,Wiedza,As,1,Dziala stale,Zasięg 20 jardów/H,"Powoduje natychmiastowe zardzewienie przedmiotu o masie do 5 funtów na poziom Kantowania. Wiąże się to z utratą Niezawodności (zdanie testu Tinkerin' o PT 5 pozwala przywrócić 1 punkt Niezawodności na sukces i przebicie, ale tylko raz – każdy odzyskany punkt Niezawodności to godzina pracy nad maszyną).",-1,-2,-3,-4,-5,-8,-10,-12,-14,-16,Dezintegracja
Podstawka,Safecracker,Włam,Wiedza,As,1,Działa natychmiast,Dotyk,"Magicznie rozwiązuje więzy, kajdany i otwiera zamki. Jeśli jedne drzwi lub jedna osoba zamknięte są/skrępowana jest licznymi więzami/zamkami, Kant wpływa na wszystkie. Miminalna ręka to:",Węzły;,,Większość zamków i kłódek;,,Skomplikowane lub nietypowe zamki;,"Magiczne pieczęcie i zamknięcia, w tym efekty Kantu Spirit Coils.",,,,,
Podstawka,Sandman,Piaskowy Dziadek,Duch,As,1,Działa 15 minut/H,Zasięg 5 jardów/H,"Cel Kanta musi natychmiast wykonać test Wigoru (PT zależy od pociągniętej ręki) lub zasnąć. Można taką osobę normalnie obudzić, jednak jeśli tak się nie stanie, cel Kanta śpi do końca jego trwania. Po upływie tego czasu wykonuje kolejny test Wigoru (PT 5), oblanie tego testu oznacza, że ofiara będzie spać przez jeszcze około 8 godzin (choć dalej może być normalnie obudzona). Kant nie działa na Wygrzebańców i stworzenia które nie sypiają.",3,5,7,9,11,13,15,17,19,21,23
Podstawka,Sandstorm,Kurzawa,Wiedza,Para,1,Koncentracja lub 1 Tchu/rundę,Zasięg 25 jardów/H,"Tworzy burzę piaskową o promieniu do 20 jardów na poziom Kantowania. Każdy kto znajduje się w jej obrębie musi co rundę rzucić test Wigoru (PT 5) lub stracić 1 Tchu. Oprócz tego, otrzymuje karę do wszystkich testów (zależną od pociągniętej reki).",-,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11
Metal Mage,Scrap Storm,Burza złomu,Wiedza,Para Figur,2,Koncentracja ORAZ 1k4 Tchu/rundę,Na siebie,"Tworzy cyklon o średnicy około 5 jardów, krążący wokół pustej przestrzeni o promieniu około jarda, w której centrum znajduje się Kanciarz. Cyklon unosi wirujące skrawki ostrego jak brzytwa metalu, krążące dookoła Kanciarza. Tak jak przy Kancie Texas Twister, każdy atak w, z, lub przez cyklon otrzymuje karę -2. Dodatkowo, każdy kto znajduje się w zasięgu cyklonu musi wykonać test Wigoru (PT 9), by w ogóle udała mu się jakakolwiek Akcja (aby zignorować silny wiatr i ostre kawałki metalu wbijające się w skórę).",-,-,1k4 Tchu,2k6,3k6,4k6,4k8,5k8,6k8,6k10,7k12
Podstawka,Sculptor,Rzeźbienie,Wiedza,Para,2,1 Tchu/rundę,Dotyk,"Przez czas działania tego Kanta nawet najtwardsza skała staje się miękka jak glina, i może być kształtowana palcami Kanciarza (można w ten sposób wpłynąć na stopę sześcienną kamienia w każdej rundzie). Po upływie działania Kanta kamień wraca do oryginalnej twardości, ale zachowuje swój kształt – jakkolwiek zmieniony czy wymyślny by on nie był. Kanta tego można używać do tworzenia prostych kamiennych narzędzi, kopania tuneli, a nawet – ewentualnie – wspinaczki.",,,,,,,,,,,
Podstawka,Shadow Man,Człowiek-Widomo,Spryt,Para,1,Koncentracja,Na siebie,"Otacza Kanciarza osłoną cieni, dając mu, na czas koncentracji, premię do Skradania (+5 lub więcej). Koncetracja ta nie przeszkadza w testach Skradania, ale jakakolwiek inna złozona (tj. wymagająca testu) czynność przerywa koncentrację, i działanie Kanta.",-,5,7,9,11,13,15,17,19,21,23
Podstawka,Shadow Walk,Widmowy Jack,Spryt,As,1,Działa natychmiast,Na siebie,"Pozwala wejść w cień całkowicie zakrywający Kanciarza i wyjść z innego, znajdującego się w zasięgu wzroku.",2 y,5 y,5 y,10 y,20 y,50 y,100 y,200 y,500 y,1 mila,Każdy
Metal Mage,Shard,Odłamek,Duch,Para,1,Działa natychmiast,Zasięg 10 jardów/H,Tworzy jeden lub więcej ostrych skrawków metalu i wystrzeliwuje je w jednego lub więcej przeciwników. Po trafieniu metal błyskawicznie rdzewieje i rozpada się w proch.,-,1k4 Tchu,2k6,3k6,4k6,5k8,6k8,7k8,8k10,9k10,10k12
Podstawka,Sheep's Clothing,W Owczej Skórze,Spryt,As,1,Koncentracja,Zasięg 1 jard,"Sprawia, że pojedynczy przedmiot (od Trójki również żywa istota) wygląda jak coś zupełnie innego. Każdy kto chce przejrzeć iluzję musi wykonać sporny test Cognition przeciw Hexslingin' Kanciarza. Iluzja wpływa na wszystkie pięć zmysłów.",,,,,,,,,,,
Metal Mage,Shocker,Szokujący,Duch,As,1,Działa 1 minutę/H,Zasięg 5 jardów/H,"Kant rzuca się na metalowy przedmiot. Pierwsza osoba, która go dotknie otrzyma obrażenia od elektryczności (Dech) oraz msui rzucić test Wigoru (PT 7) by uniknąć Ogłuszenia.",1k4,2k4,2k6,3k6,4k8,5k8,6k10,7k10,7k12,8k12,9k12
Podstawka,Silver-Tongued Devil,Złotousty,Charyzma,Para Figur,1,Działa 1 minutę/H,Na siebie,"Czyni Kanciarza bardziej przekonującym i charyzmatycznym. Kant daje premię do wszystkich testów Perswazji, Blefu i Obśmiewania.",-,-,5,7,9,11,13,15,17,19,21
Podstawka,Siren Song,Syreni Śpiew,Charyzma,As,1,Koncentracja lub 1 Tchu/rundę,Zasięg 10 jardów/H,"Tworzy hipnotyzujący dźwięk, którego źródłem jest Kanciarz (choć koncentrując się, może on przesuwać źródło dźwięku). Każdy w zasięgu dźwięku musi rzucić test Ducha (o PT zależnym od pociągniętej ręki) lub podążać za głosem przez czas trwania Kanta, tracąc zainteresowanie jakimikolwiek innymi działaniami. Jakakolwiek agresja, atak czy obrażenia zadane osobie pod wpływem Kanta przerywają jego działanie.",3,5,7,9,11,13,15,17,19,21,23
Podstawka,Sirocco,Sirocco,Wiedza,Para,2,Działa 1 minutę/H,Zasięg 1 jard,"Przyzywa wiatr wiejący od Kanciarza w kierunku, w którym jest zwrócony (na obszarze około 20 jardów szerokości i 40 jardów długości). Każdy, kto próbuje podejść do Kanciarza musi zdać test Siły (testu można próbować na kazdej Akcji, jeśli się on uda, nie trzeba go już powtarzać w danej rundzie). PT tego testu zależy od prędkości wiatru (i pociągniętej ręki). Niefart w tym teście oznacza przewrócenie się na ziemię – aby wstać, należy zdać test Siły o PT takim samym jak PT testu wymaganego do zbliżenia się do Kanciarza. Pełna tabelka na str. 62 Kanty i Kanciarze",-,3,3,3,4,5,6,7,8,9,10
Podstawka,Skinchange,Zmiennokształtny,Wiedza,Dwie Pary,5 minut,Działa 1 godzinę/H,Na siebie,"Pozwala przybrać formę zwierzęcia (każde zwierzę to osobny Kant – można nauczyć się Skinchange kilkakrotnie). Kant przemienia tylko Kanciarza, nie ubranie i przedmioty osobiste. Przez czas trwania Kanciarz nie może rzucać Kantów ani mówić, ale zachowuje pamięć i umysł sprzed rzucenia Kanta. Możliwe jest przerwanie działania Kanta w dowolnej chwili. UWAGA: jeśli Kanciarz będzie miał Backlash, a mimo to Kant wyjdzie, zapomina on kim jest (również jego umysł staje się na czas trwania Kanta umysłem zwierzęcia). Zwierzęta są na stronie 74 Kanty i Kanciarze",,,,,,,,,,,
Shootist,Skinnin',Ręka Szybsza niż Oko,Spryt,Para,1,1 Tchu/rundę,Na siebie,"Zwiększa szybkość dobywania broni Kanciarza. Minimalna ręka daje +1 do testu Quick Draw, każda ręka powyżej minimum kolejne +1. Kant działa tylko, jeśli Kanciarz ma umiejętność QD.",-,1,2,3,4,5,6,7,8,9,10
Hexarcana,Sleeve Card,Karta z Rękawa,Spryt,As,1,Działa 1 rundę/H,Na siebie,"Przez czas działania Kanta rzucający ma możliwość „oszukiwania” praw rządzących czasem. W każdej rundzie walki, natychmiast po rzucie za Quickness, ma prawo odrzucić kartę i pociągnąć następną. Może to powtarzać, przy odpowiednio dobrej ręce, więcej niż raz. Nie musi jednak korzystać z tej możliwości, jeśli nie chce. Przy każdym kolejnym odrzucaniu i dociąganiu karty można odrzucać tę samą lub inną kartę – wybór gracza.",1,2,2,2,3,4,5,6,7,8,9
Metal Mage,Sliverspray,Odprysk,Wiedza,Para Figur,1,Działa natychmiast,Zasięg 1 jard/H,"Wystrzeliwuje z dłoni Kanciarza wachlarz ostrych, niewielkich pocisków ostrego metalu. Każdy, kto znajduje się w zasięgu działania Kanta (wachlarz o długości równej zasięgowi i połowie jego szerokości) otrzymuje pełne obrażenia od Kanta. Obrażenia liczone są jak przy eksplozji (lokacja każdej rany losowana jest osobno). Jeśli wylosowana część ciała jest chroniona przez osłonę, nie otrzymuje ran. Zbroja działa tak samo jak przy eksplozjach (czytaj: zwykle nie działa WCALE).",-,-,2k4,3k4,4k4,5k6,6k6,7k6,8k6,9k6,10k8
Podstawka,Snake Oil,Placebo,Spryt,As,1,Działa 1 minutę/H,Zasięg 1 jard,"Tworzy iluzję (działającą nawet jeśli cel wie, że jest pod wpływem Kanta), wpływającą na wszystkie zmysły, przekonującą cel Kanta że nie jest ranny. Pozwala mu to ignorować modyfikatory z ran (choć rany dalej tam są, traci on Dech, musi rzucać za Ogłuszenie i tak dalej). Jeśli modyfikator z ran jest obniżony do zera, cel Kanta nawet NIE WIE, że jest ranny.",Ignoruje modyfikatory z 1 poziomu ran.,,Ignoruje 3 poziomy modyfikatorów.,Ignoruje 4 poziomy modyfikatorów.,Całkowicie ignoruje modyfikatory z ran.,,,,,,
Podstawka,Soul Blast,Przyduszenie,Duch,As,1,Działa natychmiast,Zasięg 50 jardów/H,"Z palców Kanciarza wypływa strumień duchowej energii. Energia przechodzi przez materialne obiekty, działa tylko na żywe istoty (i undeadów), zadając im obrażenia. Test Kantowania jest jednocześnie testem trafienia. Soul Blast nigdy nie ma modyfikatorów z odległości, choć modyfikatory za celowanie, osłonę etc. dalej są liczone. Soul Blast może (decyzja Szeryfa) działać na duchy i inne istoty niematerialne. UWAGA: wyciągnięcie Dead Man's Hand przy Soul Blast oznacza instakill, zawsze.",0 / 1k4 T.,1k6 T.,3k6,4k8,5k8,6k8,7k10,8k10,9k10,10k12,10k20
Podstawka,Soul Burst,Duszności,Duch,Para,2,Działa natychmiast,Zasięg 25 jardów/H,"Działa podobnie jak Soul Blast, ale tworzy wybuchającą kulę duchowej energii, eksplodującą w wybranym przez Kanciarza miejscu. Zadaje ona wtedy obrażenia (jak przy eksplozji – każda rana jest losowana osobno) wszystkim w promieniu 1 jarda na poziom Kantowania.",-,1k4 Tchu,2k4,3k6,4k8,5k8,5k10,6k10,6k12,7k12,8k12
Podstawka,Spirit Coils,Więź Duchowa,Duch,As,1,Działa 2 rundy/H,Zasięg 5 jardów/H,Tworzy niewidzialne więzy krępujące cel. Raz na każdą rundę (nie Akcję!) ma on prawo do testu Siły (PT zależny od pociągniętej ręki). Niefart w teście oznacza niemożność uwolnienia się do końca trwania Kanta.,3,5,7,9,11,13,15,17,19,21,23
Podstawka,Spiritual Disfavor,Nieprzychylność Duchów,Duch,Para,Zwiewanie!,Działa natychmiast,Zasięg 5 jardów/H,"Rzucony w momencie, gdy Indiański Szaman prosi o Przysługę, zwiększa jej koszt w Punktach Obłaskawienia.",-,1,2,3,4,5,6,7,8,9,10
Hexarcana,Stayin' Put,Pozostań na Miejscu,,Para,1,Koncentracja lub 1 Tchu/rundę,Na siebie,"Kanciarz pod wpływem Stayin' Put jest praktycznie nie do ruszenia z miejsca. Za kazdym razem, gdy ktoś próbuje go przesunąć/popchnąć/przewrócić (lub np. gdy trzyma się gałęzi czy krawędzi klifu, by nie spaść), otrzymuje on premię +5 do wszystkich testów Siły, by temu zapobiec (oraz dodatkowo +2 za każdą rękę powyżej minimalnej). Dodatkowo, na czas działania Kanta otrzymuje premię +2 do wszystkich testów Guts oraz Przewagę „Nerves o' Steel” (innymi słowy, po oblanym teście Jaj może zdecydować się nie uciekać). W zamian jego Tempo spada o 2.",-,5,7,9,11,13,15,17,19,21,23
Metal Mage,Steganogram,Steganogram,Wiedza,As,2,Działa 5 dni/H,Dotyk,"Po użyciu ukrywa wiadomość napisaną przez Kanciarza tak, że wygląda jak coś zupełnie innego – i mało kto jest w stanie nawet zauważyć, że w tekście zakodowano jakąkolwiek sekretną wiadomość. Kanciarz może wymienić (np. z imienia) adresatów wiadomości – w liczbie jednego na poziom Kantowania. Te osoby nie mają żadnych trudności z odczytaniem wiadomości.","7, 11","9, 13","11, 15","13, 17","15, 19","17, 21","19, 23","21, 25","23, 27","25, 29","27, 31"
Podstawka,Swamp Gas,Gaz Bagienny,Wiedza,As,1,Działa 1 rundę/H,Zasięg 25 jardów/H,"Wyzwala paskudnie pachnący gaz o zasięgu sfery o promieniu 5 jardów na poziom Kantowania. Daje to karę -6 do wszystkich testów Cognition opartych o węch, jak również karę do wszystkich testów (zależną od pociągniętej ręki). Jeśli gaz zostanie w jakiś sposób podpalony, każdy w obszarze Kanta otrzymuje obrażenia od eksplozji (zależne od pociągniętej ręki).","-1
0 DAM","-2
1k4 T.","-2
1k6","-3
2k4","-3
2k6","-4
3k6","-5
4k6","-5
5k8","-6
6k8","-6
7k10","-8
8k10"
Podstawka,Talisman,Amulet,Wiedza,Trójka,2 dni,Dziala stale,Dotyk,"Tworzy Relikt (tym potężniejszy, im lepsza jest pociągnięta ręka). Warunek: przedmiot z którego tworzy się Relikt musiał brać udział w legendarnym wydarzeniu (decyzja Szeryfa, czy wydarzenie było wystarczająco „legendarne”).",,,,,,,,,,,
Podstawka,Tall Tales,Bujdy i Bajania,Charyzma,Para,1,Koncentracja,Zasięg 5 jardów/H,"Sprawia, że cel Kantu brzmi jakby przesadzał, bredził i opowiadał niestworzone historie, nawet jeśli mówi z sensem. Każdy kto chce zignorować magiczną sugestię, że cel Kanta przesadza musi wykonać test Cognition (PT zależny od pociągniętej ręki). Jeśli Kanciarzowi nie wyjdzie Kant Tall Tales, brzmi jakby nawąchał się oparów upiorytu.",-,3,3,5,7,9,11,13,15,17,19
Podstawka,Temptation,Kuszenie,Duch,Para,1,Działa natychmiast,Zasięg 5 jardów/H,"Po rzuceniu na osobę posiadającą Umiejętność Wiara, Kant stawia jej przed oczami grzeszne, kuszące wizje. Wymusza to test Wiary (o PT zależnym od pociagniętej ręki). Oblany test oznacza utratę 1 punktu Umiejętności Wiara, zdany test daje +2 premii do obrony przed Kantem Temptation w przyszłości.",-,5,5,7,9,11,13,15,17,19,21
Podstawka,Texas Twister,Teksańskie Tornado,Wiedza,Para Figur,2,Koncentracja,Zasięg 20 jardów/H,"Tworzy niewielkie tornado o promieniu około 10 jardów. Każdy kto znajduje się w obrębie tornada musi raz na rundę wykonywać test Wigoru (PT 9) albo nie otrzyma w tej turze żadnych kart. Wszystkie ataki z, w, lub przez tornado otrzymują karę -2. Kant można rzucić w budynkach. Kanciarz może przesuwać tornado dopóki się koncentruje (ma ono Tempo 20, nie może biegać).",,,,,,,,,,,
Hexarcana,The Demon's Eye,Oko Demona,Spostrzegawczość,As,1,1 Tchu/rundę,Zasięg 10 jardów/H,Rzucenie tego Kanta pozwala Kanciarzowi widzieć przebłyski najbliższej przyszłości. Dzięki temu gracz poznaje Karty Akcji posiadane przez przeciwników.,1,2,3,3,4,6,8,10,All,All,All
Podstawka,Thunderclap!,Gromowładny,Wiedza,Para,2,Działa natychmiast,Zasięg 25 jardów/H,"Wyzwala potężny grzmot, wymuszający test Wigoru (PT zależny od pociągniętej ręki). Każdy kto obleje test traci słuch na 2k10 rund i musi próbować testu Wigoru (cały czas ten sam PT) na każdej Akcji, tak jak przy Ogłuszeniu. Każdy kto zda test traci słuch na 1k6 rund.
Każdy, kto ma Zawadę Bad Ears dostaje premię do testów Wigoru równą wartości Zawady.
Dokładne PT testów Wigoru podane są w tabeli pod opisami Kantów.
",3,5,7,9,11,13,15,17,19,21,23
Podstawka,Timeslip,Poślizg w Czasie,Spryt,Para,1,Czas działania specjalny,Na siebie,"Kanciarz znika na wybrany przez siebie czas. Przez czas działania Kanta po prostu nie istnieje – nie może wykonywać żadnych Akcji, Kantować, być w żaden sposób wykryty ani znaleziony (nawet magicznie). Kiedy mija czas działania Kanta, Kanciarz pojawia się dokładnie w tym miejscu w którym stał w momencie jego rzucania (jeśli to miejsce zajmuje już jakiś obiekt, Kanciarz pojawia się tak blisko jak to tylko możliwe, rzucając za Wigor na PT 7 by uniknąć Ogłuszenia).",-,-,Runda,2 rundy,5 rund,1 min.,10 min.,1 h,Dzień,Tydzień,Rok
Podstawka,Touch o' Death,Oddech Śmierci,Duch,Dwie Pary,1,Działa natychmiast,Dotyk,"Dotknięta ofiara Kanta (aby dotknąć kogoś kto sobie tego nie życyz, należy zdać test Fightin': Brawlin') wykonuje rzut za Wigor o PT zależnym od pociągniętej ręki (minimum 7). Przy zdanym teście traci 3k6 Tchu. Oblany test oznacza zawał serca. Kanty i Kanciarze str. 50",-,-,-,-,9,11,13,15,17,19,21
Metal Mage,Transcribe,Transkrypcja,Duch,Para,2,Działa 5 minut/H,Zasięg 5 stóp/H,"Jeśli ten Kant zostanie rzucony na papier i narzędzie do pisania, na powierzchni papieru będzie pojawiać się każde słowo wypowiedziane podczas trwania Kanta w zasięgu jego działania. Taka „transkrypcja” zapisuje wszystko w sposób dokładny i wierny, używając różnych „charakterów” pisma dla różnych mówiących. Słowa z języków nieznanych Kanciarzowi zapisywane są fonetycznie.",,,,,,,,,,,
Podstawka,Trinkets,Duperele,Wiedza,As,2,Działa 1 rundę/H,Dotyk,"Pozwala sięgnąć do kieszeni, torby etc. i wyciągnąć z niej nieduży przedmiot. Istnieje on tylko przez czas trwania Kanta, ale poza tym można go normaline używać (np. wyciągnięta broń jest zwykle już naładowana). Na Asie można wyciągnąć proste przedmioty typu zapałka lub moneta jednocentowa. Na Parze niewielkie przedmioty typu szalik/pas materiału, losowo wybrana karta do gry, dziesięcicentówka. Na Parze Waletów przedmiot może być nieco większy i/lub bardziej skomplikowany (derringer, nóż, dwudziestopięciocentówka). Na Dwóch Parach można wyciągnąć przedmioty typu rewolwer, srebrna dolarówka czy konkretna karta do gry.",,,,,,,,,,,
Podstawka,Truth Sayer,Prawdomówca,Spostrzegawczość,As,1,Działa 2 rundy/H,Zasięg 10 stóp,"Sprawia, że Kanciarz natychmiast rozpoznaje kłamstwa, przesadę, oszustwa (niepotrzebny jest żaden test) u swoich rozmówców. Kanciarz nie wie jaka jest prawdziwa wersja zdarzeń, nie rozpozna też mylącej wypowiedzi, która „technicznie rzecz biorąc” jest prawdziwa. Może jednak bez pudla rozpoznać każde zdanie, w którym mówiący mija się z prawdą.",,,,,,,,,,,
Metal Mage,Tweak,Poprawka,Duch,Para,1,Koncentracja lub 1 Tchu/rundę,Dotyk,"Rzucenie tego Kanta zwiększa Niezawodność szalonego wynalazku (Kant nie działa na „normalne” przedmioty i urządzenia). Minimalna ręka zwiększa Niezawodność o 2, każda ręka powyżej minimum o dodatkowe 1. Dodatkowo, wyciągnięcie co najmniej Trójki sprawia, że jeśli zdarzy się Usterka, należy rzucić dwa razy w celu ustalenia jak bardzo jest ona poważna i wybrać korzystniejszy wynik.",-,2,3,4,5,6,7,8,9,10,11
